,Antipatia,Desgosto,Destempero,Estupidez,Suspeição,Vacilação,Manipulação
Dilma 2016 FB,21,28,16,67,61,70,43
Dilma 2020 FB,0,0,0,7,1,0,0
Dilma 2020 WA,0,3,1,21,11,9,3
Lula 2016 FB,12,30,17,11,102,38,56
Lula 2020 FB,6,12,4,7,38,27,16
Lula 2020 WA,26,53,5,25,78,29,42
